publisher,journal,question_id,question_text,has_discrepancy,discrepancy_reason,final_answer,num_encoders,question_type,score
ACS,the_journal_of_organic_chemistry,rdp_exist,1. Existence of research data policy,False,,Research Data Policy (RDP) exists.,1,multiple_choice,1.0
ACS,the_journal_of_organic_chemistry,data_sharing,3. Data sharing requirements in RDP,False,,Data sharing encouraged but optional.,1,multiple_choice,0.0
ACS,the_journal_of_organic_chemistry,data_fair,4. FAIR data sharing (see https://www.go-fair.org/fair-principles/ for a definition of FAIR),False,,Public data sharing on a FAIR repository not mentioned in RDP.,1,multiple_choice,0.0
ACS,the_journal_of_organic_chemistry,data_availability,2. Data availability statement,False,,Mentioned in the RDP but optional.,1,multiple_choice,0.5
ACS,the_journal_of_organic_chemistry,data_citability,5. Citability and findability of data ,False,,No mention of DOIs or other persistent identifiers for datasets or codes.,1,multiple_choice,0.0
ACS,the_journal_of_organic_chemistry,data_timing,7. Timing of data release,False,,Required data must be available prior to official publication.,1,multiple_choice,0.75
ACS,the_journal_of_organic_chemistry,data_sharing_method,8. Recommended data sharing method,False,,Data sharing in supplementary material or hosting by journal recommended in RDP.,1,multiple_choice,0.6
ACS,the_journal_of_organic_chemistry,data_licenses,9. Recommended/required licenses,False,,No mention of data/code licenses in RDP.,1,multiple_choice,0.0
ACS,the_journal_of_organic_chemistry,data_referee,10. Referee guidelines concerning research data,False,,Data sharing policy not mentioned in refereeing guidelines.,1,multiple_choice,0.0
ACS,the_journal_of_organic_chemistry,data_recommended,"11. Unique policies for data types
Please name all data types for which unique policies are recommended according to the RDP (Please separate all data types be semicolon, e.g. crystal structures; Protein sequence)",False,,no text.,1,open,
ACS,the_journal_of_organic_chemistry,data_required,"12. Unique policies for data types
Please name all data types for which unique policies are required according to the RDP (Please separate all data types be semicolon, e.g. crystal structures; Protein sequence)",False,,crystal structures,1,open,
ACS,the_journal_of_organic_chemistry,code_required,13. Code sharing requirements,False,,Code sharing required.,1,multiple_choice,1.0
ACS,the_journal_of_organic_chemistry,code_reproducibility,14. Code Reproducibility,False,,Journal policies require stating all dependencies and their versions that were used to run computational experiments.,1,multiple_choice,0.5
ACS,the_journal_of_organic_chemistry,code_versioning,15. Versioning and persistent identifiers,False,,Journal policies encourage/recommend a persistent identifier or specifying a version of developed code.,1,multiple_choice,0.5
ACS,the_journal_of_organic_chemistry,code_quality,16. Code Quality Standards,False,,The journal policies do not mention any code quality standards.,1,multiple_choice,0.0
ACS,the_journal_of_organic_chemistry,code_autotest,17. Automatic Testing,False,,No mention of automatic testing to verify code functionality.,1,multiple_choice,0.0
ACS,the_journal_of_organic_chemistry,code_docs,18. Code Documentation,False,,No mention of standards for code documentation.,1,multiple_choice,0.0
ACS,the_journal_of_organic_chemistry,code_linting,19. Linting Standards,False,,No mention of linting standards for code.,1,multiple_choice,0.0
ACS,the_journal_of_organic_chemistry,code_development,20. Code Development,False,,No mention of standards for code development such as continuous integration.,1,multiple_choice,0.0
ACS,journal_of_the_american_society_for_mass_spectrometry,rdp_exist,1. Existence of research data policy,False,,Research Data Policy (RDP) exists.,2,multiple_choice,1.0
ACS,journal_of_the_american_society_for_mass_spectrometry,data_sharing,3. Data sharing requirements in RDP,False,,Data sharing encouraged but optional.,2,multiple_choice,0.0
ACS,journal_of_the_american_society_for_mass_spectrometry,data_fair,4. FAIR data sharing (see https://www.go-fair.org/fair-principles/ for a definition of FAIR),True,Text not found,Public data sharing on a FAIR repository encouraged.,2,multiple_choice,0.33
ACS,journal_of_the_american_society_for_mass_spectrometry,data_availability,2. Data availability statement,False,,Mentioned in the RDP but optional.,2,multiple_choice,0.5
